displacement/mm,force/kN,force/N
0.198,11.76865998,11768.65998
0.199,11.77790855,11777.90855
0.2,11.79619797,11796.19797
0.201,11.80451398,11804.51398
0.202,11.83744379,11837.44379
0.203,11.84569628,11845.69628
0.204,11.86142711,11861.427109999999
0.205,11.87598084,11875.98084
0.206,11.88763476,11887.634759999999
0.207,11.90168693,11901.68693
0.208,11.91709632,11917.09632
0.209,11.95335717,11953.357170000001
0.21,11.95585946,11955.85946
0.211,11.95984066,11959.84066
0.212,11.97690287,11976.90287
0.213,11.99487922,11994.879219999999
0.214,12.0059758,12005.9758
0.215,12.05187761,12051.87761
0.216,12.055691930000002,12055.691930000003
0.217,12.06316643,12063.166430000001
0.218,12.09837941,12098.37941
0.219,12.10287376,12102.87376
0.22,12.122926240000002,12122.926240000003
0.221,12.13543075,12135.43075
0.222,12.14091495,12140.91495
0.223,12.16611047,12166.11047
0.224,12.18292606,12182.92606
0.225,12.18507503,12185.07503
0.226,12.1978005,12197.8005
0.227,12.20199476,12201.99476
0.228,12.20844393,12208.44393
0.229,12.22299869,12222.99869
0.23,12.23643332,12236.43332
0.231,12.24406579,12244.06579
0.232,12.26639053,12266.39053
0.233,12.27292094,12272.92094
0.234,12.27864955,12278.64955
0.235,12.29713994,12297.13994
0.236,12.31241435,12312.41435
0.237,12.32162484,12321.62484
0.238,12.33730061,12337.30061
0.239,12.34778962,12347.78962
0.24,12.3596148,12359.6148
0.241,12.37309255,12373.092550000001
0.242,12.38005374,12380.05374
0.243,12.38814593,12388.14593
0.244,12.39766254,12397.662540000001
0.245,12.41355841,12413.55841
0.246,12.42166779,12421.667790000001
0.247,12.43711643,12437.11643
0.248,12.44580659,12445.80659
0.249,12.45273404,12452.73404
0.25,12.46992244,12469.92244
0.251,12.47981598,12479.81598
0.252,12.49067809,12490.67809
0.253,12.49508189,12495.08189
0.254,12.50575953,12505.759530000001
0.255,12.513846180000002,12513.846180000002
0.256,12.52348687,12523.486869999999
0.257,12.53125744,12531.25744
0.258,12.54068537,12540.685370000001
0.259,12.55229513,12552.295129999999
0.26,12.55818354,12558.18354
0.261,12.57486176,12574.86176
0.262,12.5793833,12579.3833
0.263,12.588117090000004,12588.117090000005
0.264,12.596010710000002,12596.010710000002
0.265,12.605978940000002,12605.97894
0.266,12.61758564,12617.58564
0.267,12.62401166,12624.01166
0.268,12.631946180000002,12631.94618
0.269,12.63946302,12639.463020000001
0.27,12.64678737,12646.78737
