"displacement,mm","force,kN","force,N"
0.0,0.00416753,4.16753
0.0200011,1.43707,1437.07
0.0400051,2.90051,2900.51
0.0599947,4.43098,4430.98
0.0799874,5.68307,5683.07
0.0999771,7.2623500000000005,7262.35
0.119945,8.339590000000001,8339.59
0.139913,9.245840000000001,9245.84
0.159882,10.179,10179.0
0.17985,10.7871,10787.1
0.199818,11.3221,11322.1
0.219786,11.6716,11671.6
0.239754,11.8154,11815.4
0.259722,11.8156,11815.6
0.279688,11.7928,11792.8
0.299656,11.7672,11767.2
0.319624,11.7399,11739.9
0.339592,11.7102,11710.2
0.35956,11.6804,11680.4
0.379528,11.649600000000001,11649.6
0.399572,11.618,11618.0
0.419703,11.585600000000001,11585.6
0.439831,11.5524,11552.4
0.459959,11.5179,11517.9
0.48009,11.4822,11482.2
0.500217,11.4445,11444.5
0.520443,11.4045,11404.5
0.540677,11.3625,11362.5
0.560908,11.3184,11318.4
0.581139,11.273100000000001,11273.1
0.601373,11.2256,11225.6
0.621604,11.1753,11175.3
0.641838,11.1228,11122.8
0.662069,11.0693,11069.3
0.682301,11.013200000000001,11013.2
0.702535,10.9549,10954.9
0.722766,10.8935,10893.5
0.742998,10.8303,10830.3
0.763231,10.764899999999999,10764.9
0.783463,10.698500000000001,10698.5
0.803694,10.6302,10630.2
0.823928,10.5598,10559.8
0.844159,10.4873,10487.3
0.864393,10.4125,10412.5
0.884624,10.3361,10336.1
0.904855,10.257200000000001,10257.2
0.92509,10.177,10177.0
0.94532,10.0946,10094.6
0.965552,10.0104,10010.4
0.985654,6.123100000000001,6123.1
1.00562,9.19176,9191.76
1.02559,9.23988,9239.88
1.04526,9.799850000000001,9799.85
1.06546,9.567549999999999,9567.55
1.08573,9.54114,9541.14
1.10556,9.39326,9393.26
1.12529,9.210540000000002,9210.54
1.14502,9.23813,9238.13
1.16476,9.07023,9070.23
1.18449,8.95157,8951.57
1.20422,8.85589,8855.89
1.22396,8.79029,8790.29
1.24369,8.58722,8587.22
1.26342,8.51718,8517.18
1.28316,8.3576,8357.6
1.30289,8.23715,8237.15
1.32262,8.18872,8188.72
1.34236,8.12604,8126.04
1.36209,8.07981,8079.81
1.38196,8.02073,8020.73
1.40232,7.917890000000001,7917.89
1.42213,7.84974,7849.74
1.44225,7.722300000000001,7722.3
1.4623,7.6002600000000005,7600.26
1.4818,7.5548,7554.8
1.50132,7.48161,7481.61
1.52083,7.4744,7474.4
1.54034,7.363729999999999,7363.73
1.55986,7.26179,7261.79
1.58022,7.2108300000000005,7210.83
1.60068,7.163670000000001,7163.67
1.62103,7.068180000000001,7068.18
1.64035,6.98838,6988.38
1.65956,6.8512900000000005,6851.29
1.67877,6.7858,6785.8
1.69799,6.80555,6805.55
1.71721,6.73303,6733.03
1.73649,6.6377500000000005,6637.75
1.75573,6.539359999999999,6539.36
1.77577,6.48686,6486.86
1.79638,6.45309,6453.09
1.81698,6.43004,6430.04
1.83759,6.3878900000000005,6387.89
1.85784,6.35328,6353.28
1.87775,6.283060000000001,6283.06
1.89823,6.25731,6257.31
1.91903,6.156569999999999,6156.57
1.93983,6.087149999999999,6087.15
1.96062,6.05225,6052.25
1.98141,6.052630000000001,6052.63
2.0022,5.99788,5997.88
