Stress, Mpa	Strain, -
824.3267687	1.81
825.7053989	1.82
827.0805597	1.83
828.4522785	1.84
829.8205828	1.85
831.1854993	1.86
832.5470546	1.87
833.9052749	1.88
835.260186	1.89
836.6118135	1.9
837.9601824	1.91
839.3053178	1.92
840.647244	1.93
841.9859854	1.94
843.3215658	1.95
844.6540089	1.96
845.983338	1.97
847.309576	1.98
848.6327459	1.99
849.9528699	2
