
                  X             Displacement          Force      

                0.                 0.                 3.22984    
              100.007E-06         31.0005E-03         1.11364E+03
              200.006E-06         62.0038E-03         2.24424E+03
              300.006E-06         92.9936E-03         3.42934E+03
              400.001E-06        124.006E-03          4.39985E+03
              500.014E-06        155.041E-03          5.63424E+03
              600.E-06           186.012E-03          6.66759E+03
              700.001E-06        216.989E-03          7.86267E+03
              800.002E-06        247.923E-03          8.92058E+03
              900.003E-06        278.848E-03          9.97739E+03
                1.E-03           309.773E-03         10.9075E+03 
                1.1E-03          340.699E-03         11.7898E+03 
                1.2E-03          371.624E-03         12.617E+03  
                1.30001E-03      402.549E-03         13.4437E+03 
                1.40001E-03      433.474E-03         13.9763E+03 
                1.50001E-03      464.399E-03         14.2399E+03 
                1.60001E-03      495.324E-03         14.263E+03  
                1.70001E-03      526.249E-03         14.2031E+03 
                1.80001E-03      557.174E-03         14.1568E+03 
                1.90001E-03      588.099E-03         14.101E+03  
                2.00001E-03      619.141E-03         14.0391E+03 
                2.10001E-03      650.313E-03         13.975E+03  
                2.2E-03          681.486E-03         13.9074E+03 
                2.30001E-03      712.663E-03         13.8346E+03 
                2.4E-03          743.836E-03         13.7585E+03 
                2.50001E-03      775.013E-03         13.6761E+03 
                2.60001E-03      806.185E-03         13.589E+03  
                2.7E-03          837.358E-03         13.4952E+03 
                2.80001E-03      868.535E-03         13.3982E+03 
                2.90001E-03      899.707E-03         13.2922E+03 
                3.E-03           930.88E-03          13.1826E+03 
                3.10001E-03      962.057E-03         13.0643E+03 
                3.20001E-03      993.229E-03         12.9407E+03 
                3.3E-03            1.02426           12.8102E+03 
                3.40001E-03        1.05523           12.6722E+03 
                3.5E-03            1.08619           12.5292E+03 
                3.60001E-03        1.11717           12.3766E+03 
                3.70001E-03        1.14813           12.2205E+03 
                3.80001E-03        1.17926           12.7918E+03 
                3.90001E-03        1.20998           11.0649E+03 
                4.00001E-03        1.24071           13.2076E+03 
                4.1E-03            1.27115           11.3E+03    
                4.20001E-03        1.30262           11.4119E+03 
                4.30001E-03        1.33361           11.6452E+03 
                4.4E-03            1.36421           11.7246E+03 
                4.5E-03            1.39553           11.4131E+03 
                4.6E-03            1.42631           11.2296E+03 
                4.70001E-03        1.45712           11.0301E+03 
                4.8E-03            1.48814           10.9358E+03 
                4.9E-03            1.51916           10.6699E+03 
                5.00001E-03        1.55018           10.3622E+03 
                5.1E-03            1.58119           10.2038E+03 
                5.2E-03            1.6121             9.97483E+03
                5.3E-03            1.6433             9.81942E+03
                5.4E-03            1.67399            9.59733E+03
                5.5E-03            1.70528            9.3344E+03 
                5.60001E-03        1.73604            9.10553E+03
                5.70001E-03        1.76724            9.02588E+03
                5.80001E-03        1.79821            8.80836E+03
                5.9E-03            1.82908            8.62449E+03
                6.00001E-03        1.86034            8.43857E+03
                6.1E-03            1.89097            8.2732E+03 
                6.2E-03            1.9223             8.1439E+03 
                6.30001E-03        1.95337            7.93542E+03
                6.4E-03            1.98381            7.83692E+03
                6.5E-03            2.01526            7.70686E+03
                6.6E-03            2.04599            7.59256E+03
                6.7E-03            2.07674            7.4532E+03 
                6.80001E-03        2.10808            7.33084E+03
                6.9E-03            2.13915            7.22909E+03
                7.E-03             2.17021            7.14347E+03
                7.1E-03            2.20078            7.01546E+03
                7.2E-03            2.23224            6.93815E+03
                7.3E-03            2.26372            6.84722E+03
                7.4E-03            2.29386            6.77348E+03
                7.5E-03            2.32467            6.67873E+03
                7.60001E-03        2.3566             6.60688E+03
                7.7E-03            2.38801            6.53254E+03
                7.8E-03            2.41793            6.46273E+03
                7.9E-03            2.44786            6.39193E+03
                8.E-03             2.47782            6.33025E+03
                8.10001E-03        2.50777            6.27044E+03
                8.2E-03            2.53642            6.21633E+03
                8.3E-03            2.56949            6.15339E+03
                8.4E-03            2.60263            6.10074E+03
                8.5E-03            2.63563            6.04824E+03
                8.6E-03            2.6668             5.99141E+03
                8.7E-03            2.69749            5.95812E+03
                8.8E-03            2.7281             5.90713E+03
                8.9E-03            2.75879            5.87377E+03
                9.E-03             2.79079            5.83071E+03
                9.1E-03            2.82034            5.82283E+03
                9.2E-03            2.84914            5.80393E+03
                9.3E-03            2.87794            5.78696E+03
                9.4E-03            2.90674            5.76486E+03
                9.5E-03            2.93554            5.74848E+03
                9.6E-03            2.96434            5.71636E+03
                9.7E-03            2.99314            5.69138E+03
                9.8E-03            3.02194            5.66911E+03
                9.9E-03            3.05115            5.65835E+03
               10.E-03             3.0846             5.61755E+03




