"displacement,mm","force,kN","force,N"
0.0,0.00322984,3.22984
0.0310005,1.1136400000000002,1113.64
0.0620038,2.24424,2244.24
0.0929936,3.41453,3414.53
0.12397,3.75154,3751.54
0.154996,3.9555100000000003,3955.51
0.185972,4.0193200000000004,4019.32
0.216948,4.06095,4060.95
0.247924,4.0921,4092.1
0.278853,4.12244,4122.44
0.309778,4.15023,4150.23
0.340703,4.17635,4176.35
0.371628,4.19972,4199.72
0.402553,4.22183,4221.83
0.433478,4.24304,4243.04
0.464403,4.26327,4263.27
0.495328,4.282229999999999,4282.23
0.526253,4.3003,4300.3
0.557174,4.31791,4317.91
0.588099,4.33459,4334.59
0.619141,4.35087,4350.87
0.650318,4.3664700000000005,4366.47
0.68149,4.38155,4381.55
0.712663,4.39615,4396.15
0.74384,4.4102500000000004,4410.25
0.775013,4.4238599999999995,4423.86
0.80619,4.43708,4437.08
0.837362,4.4499200000000005,4449.92
0.868535,4.46239,4462.39
0.899712,4.47448,4474.48
0.930884,4.48623,4486.23
0.962057,4.49767,4497.67
0.993234,4.50879,4508.79
1.02454,4.51962,4519.62
1.05592,4.5301599999999995,4530.16
1.0873,4.54045,4540.45
1.11868,4.550470000000001,4550.47
1.15006,4.56026,4560.26
1.18144,4.56979,4569.79
1.21282,4.57908,4579.08
1.2442,4.58817,4588.17
1.27558,4.59705,4597.05
1.30696,4.60571,4605.71
1.33835,4.61418,4614.18
1.36972,4.62244,4622.44
1.4011,4.630520000000001,4630.52
1.43249,4.63842,4638.42
1.46387,4.64613,4646.13
1.49525,4.6536800000000005,4653.68
1.52663,4.661060000000001,4661.06
1.55783,4.66826,4668.26
1.5888,4.67532,4675.32
1.61977,4.68222,4682.22
1.65074,4.68894,4688.94
1.68171,4.6955,4695.5
1.71267,4.701899999999999,4701.9
1.74364,4.70815,4708.15
1.77461,4.71425,4714.25
1.80557,4.72021,4720.21
1.83654,4.72604,4726.04
1.86751,4.73173,4731.73
1.89848,4.73726,4737.26
1.92945,4.74269,4742.69
1.96015,4.7479700000000005,4747.97
1.9907,4.75315,4753.15
2.02126,4.75818,4758.18
2.05181,4.76309,4763.09
2.08237,4.76787,4767.87
2.11292,4.77252,4772.52
2.14347,4.7770600000000005,4777.06
2.17435,4.78154,4781.54
2.20593,4.7860000000000005,4786.0
2.2375,4.7903400000000005,4790.34
2.26907,4.79453,4794.53
2.30065,4.79862,4798.62
2.33222,4.802600000000001,4802.6
2.36379,4.80645,4806.45
2.39537,4.8102,4810.2
2.42694,4.81384,4813.84
2.45852,4.81735,4817.35
2.48942,4.82075,4820.75
2.52013,4.824050000000001,4824.05
2.55086,4.827229999999999,4827.23
2.58158,4.830310000000001,4830.31
2.61229,4.833270000000001,4833.27
2.64302,4.83613,4836.13
2.67374,4.83887,4838.87
2.70446,4.84151,4841.51
2.73517,4.84403,4844.03
2.7659,4.84646,4846.46
2.79662,4.848770000000001,4848.77
2.82734,4.85097,4850.97
2.85805,4.85308,4853.08
2.88878,4.855090000000001,4855.09
2.9195,4.857,4857.0
2.95021,4.85882,4858.82
2.98094,4.86053,4860.53
3.01166,4.8621099999999995,4862.11
3.04238,4.863600000000001,4863.6
3.07309,4.86495,4864.95
3.10373,4.86621,4866.21
