
                  X             Displacement          Force      

                0.                 0.                 4.16753    
              100.007E-06         20.0011E-03         1.43707E+03
              200.006E-06         40.0051E-03         2.90051E+03
              300.006E-06         59.9947E-03         4.43098E+03
              400.007E-06         79.9874E-03         5.68307E+03
              500.008E-06         99.9767E-03         7.27963E+03
              600.008E-06        119.945E-03          8.61698E+03
              700.009E-06        139.913E-03         10.175E+03  
              800.01E-06         159.881E-03         11.5278E+03 
              900.011E-06        179.849E-03         12.769E+03  
                1.00001E-03      199.818E-03         13.6329E+03 
                1.10001E-03      219.786E-03         14.6013E+03 
                1.20001E-03      239.754E-03         15.5693E+03 
                1.30001E-03      259.722E-03         16.2316E+03 
                1.4E-03          279.687E-03         17.0192E+03 
                1.5E-03          299.655E-03         17.6391E+03 
                1.6E-03          319.624E-03         18.2189E+03 
                1.7E-03          339.592E-03         18.7188E+03 
                1.8E-03          359.56E-03          19.1303E+03 
                1.9E-03          379.528E-03         19.4634E+03 
                2.E-03           399.572E-03         19.7735E+03 
                2.10001E-03      419.703E-03         19.9398E+03 
                2.20001E-03      439.831E-03         20.0439E+03 
                2.3E-03          459.958E-03         20.0523E+03 
                2.40001E-03      480.089E-03         20.0229E+03 
                2.50001E-03      500.216E-03         19.9757E+03 
                2.6E-03          520.241E-03         19.9215E+03 
                2.70001E-03      540.268E-03         19.8634E+03 
                2.80001E-03      560.293E-03         19.8029E+03 
                2.9E-03          580.318E-03         19.7402E+03 
                3.00001E-03      600.346E-03         19.6736E+03 
                3.1E-03          620.37E-03          19.5959E+03 
                3.20001E-03      640.398E-03         19.5209E+03 
                3.30001E-03      660.423E-03         19.4364E+03 
                3.4E-03          680.447E-03         19.3534E+03 
                3.50001E-03      700.475E-03         19.2596E+03 
                3.60001E-03      720.5E-03           19.1663E+03 
                3.7E-03          740.524E-03         19.0695E+03 
                3.80001E-03      760.552E-03         18.9659E+03 
                3.90001E-03      780.577E-03         18.8608E+03 
                4.E-03           800.602E-03         18.7478E+03 
                4.10001E-03      820.629E-03         18.6365E+03 
                4.2E-03          840.654E-03         18.5154E+03 
                4.30001E-03      860.682E-03         18.3968E+03 
                4.40001E-03      880.707E-03         18.2698E+03 
                4.5E-03          900.731E-03         18.1409E+03 
                4.60001E-03      920.759E-03         18.0107E+03 
                4.70001E-03      940.784E-03         17.873E+03  
                4.8E-03          960.808E-03         17.7348E+03 
                4.90001E-03      980.835E-03         17.5872E+03 
                5.00001E-03        1.00086           17.4419E+03 
                5.1E-03            1.02104           17.2887E+03 
                5.20001E-03        1.04127           17.1357E+03 
                5.3E-03            1.06151           16.9773E+03 
                5.40001E-03        1.08174           16.8142E+03 
                5.50001E-03        1.10196           11.4474E+03 
                5.60001E-03        1.12192           13.0517E+03 
                5.7E-03            1.14189           16.6003E+03 
                5.8E-03            1.16186           16.5112E+03 
                5.9E-03            1.18136           16.0185E+03 
                6.00001E-03        1.20146           15.9556E+03 
                6.10001E-03        1.22173           15.4742E+03 
                6.2E-03            1.24162           15.543E+03  
                6.3E-03            1.26135           15.3405E+03 
                6.40001E-03        1.28176           15.37E+03   
                6.50001E-03        1.3018            15.1399E+03 
                6.6E-03            1.32183           14.8809E+03 
                6.7E-03            1.3419            14.6401E+03 
                6.8E-03            1.36226           14.5557E+03 
                6.90001E-03        1.38263           14.2344E+03 
                7.E-03             1.40299           13.9746E+03 
                7.10001E-03        1.42334           13.7056E+03 
                7.20001E-03        1.4437            13.4323E+03 
                7.30001E-03        1.46405           13.3009E+03 
                7.40001E-03        1.4844            13.0637E+03 
                7.5E-03            1.50473           12.8584E+03 
                7.60001E-03        1.52481           12.7269E+03 
                7.70001E-03        1.54461           12.6003E+03 
                7.8E-03            1.56442           12.4378E+03 
                7.9E-03            1.58413           12.3088E+03 
                8.E-03             1.6049            12.0603E+03 
                8.1E-03            1.62555           11.8629E+03 
                8.2E-03            1.64602           11.8329E+03 
                8.3E-03            1.66646           11.6245E+03 
                8.40001E-03        1.68632           11.4998E+03 
                8.5E-03            1.70616           11.3172E+03 
                8.60001E-03        1.726             11.2311E+03 
                8.70001E-03        1.74551           11.1796E+03 
                8.8E-03            1.76482           11.1198E+03 
                8.90001E-03        1.78407           10.9586E+03 
                9.E-03             1.80336           10.7969E+03 
                9.1E-03            1.82345           10.6524E+03 
                9.2E-03            1.84403           10.5991E+03 
                9.30001E-03        1.86462           10.5008E+03 
                9.4E-03            1.88521           10.4256E+03 
                9.50001E-03        1.90529           10.3086E+03 
                9.6E-03            1.92519           10.1851E+03 
                9.7E-03            1.94581           10.1306E+03 
                9.8E-03            1.96659           10.0171E+03 
                9.90001E-03        1.98738            9.86137E+03
               10.E-03             2.00816            9.76694E+03




