strain/-,stress/MPa
0.93,1566.8964227623333
0.935,1567.7195730328697
0.94,1568.5387643745694
0.945,1569.3540367241014
0.95,1570.1654294066911
0.955,1570.9729811486409
0.96,1571.7767300895314
0.965,1572.5767137941111
0.97,1573.3729692638863
0.975,1574.165532948417
0.98,1574.9544407563315
0.985,1575.7397280660657
0.99,1576.521429736334
0.995,1577.2995801163463
1.0,1578.0742130557685
1.005,1578.8453619144432
1.01,1579.6130595718732
1.015,1580.3773384364745
1.02,1581.1382304546069
1.025,1581.8957671193907
1.03,1582.6499794793078
1.035,1583.400898146603
1.04,1584.148553305486
1.045,1584.8929747201398
1.05,1585.6341917425423
1.055,1586.3722333201058
1.06,1587.1071280031376
1.065,1587.8389039521337
1.07,1588.5675889448985
1.075,1589.2932103835058
1.08,1590.015795301102
1.085,1590.7353703685512
1.09,1591.4519619009368
1.095,1592.16559586391
1.1,1592.876297879904
1.105,1593.584093234203
1.11,1594.2890068808833
1.115,1594.9910634486178
1.12,1595.690287246358
1.125,1596.3867022688892
1.13,1597.0803322022653
1.135,1597.771200429127
1.14,1598.4593300339052
1.145,1599.1447438079101
1.15,1599.827464254317
1.155,1600.5075135930413
1.16,1601.1849137655113
1.165,1601.859686439344
1.17,1602.5318530129157
1.175,1603.2014346198446
1.18,1603.8684521333764
1.185,1604.5329261706765
1.19,1605.19487709704
1.195,1605.8543250300097
1.2,1606.5112898434124
1.205,1607.1657911713116
1.21,1607.8178484118819
1.215,1608.4674807312035
1.22,1609.1147070669795
1.225,1609.7595461321823
1.23,1610.4020164186227
1.235,1611.0421362004508
1.24,1611.6799235375877
1.245,1612.3153962790877
1.25,1612.9485720664366
1.255,1613.5794683367828
1.26,1614.2081023261085
1.265,1614.8344910723376
1.27,1615.4586514183827
1.275,1616.0806000151363
1.28,1616.7003533244003
1.285,1617.3179276217654
1.29,1617.933338999429
1.295,1618.546603368965
1.3,1619.1577364640386
1.305,1619.766753843071
1.31,1620.3736708918532
1.315,1620.978502826113
1.32,1621.5812646940321
1.325,1622.1819713787158
1.33,1622.7806376006229
1.335,1623.3772779199412
1.34,1623.9719067389303
1.345,1624.5645383042124
1.35,1625.1551867090272
1.355,1625.7438658954438
1.36,1626.3305896565328
1.365,1626.9153716384994
1.37,1627.4982253427784
1.375,1628.0791641280925
1.38,1628.6582012124718
1.385,1629.2353496752405
1.39,1629.8106224589658
1.395,1630.3840323713744
1.4,1630.9555920872335
1.405,1631.5253141502021
1.41,1632.0932109746466
1.415,1632.6592948474256
1.42,1633.2235779296468
1.425,1633.7860722583903
1.43,1634.3467897484024
1.435,1634.905742193763
1.44,1635.4629412695233
1.445,1636.018398533313
1.45,1636.5721254269263
1.455,1637.124133277874
1.46,1637.6744333009153
1.465,1638.2230365995613
1.47,1638.7699541675531
1.475,1639.315196890317
1.48,1639.858775546393
1.485,1640.4007008088429
1.49,1640.940983246633
1.495,1641.4796333259944
1.5,1642.016661411761
1.505,1642.5520777686863
1.51,1643.0858925627385
1.515,1643.618115862375
1.52,1644.1487576397942
1.525,1644.6778277721714
1.53,1645.2053360428702
1.535,1645.7312921426367
1.54,1646.255705670776
1.545,1646.778586136308
1.55,1647.2999429591048
1.555,1647.8197854710115
1.56,1648.3381229169481
1.565,1648.8549644559957
1.57,1649.3703191624647
1.575,1649.8841960269444
1.58,1650.3966039573415
1.585,1650.9075517798963
1.59,1651.417048240188
1.595,1651.9251020041227
1.6,1652.4317216589052
1.605,1652.936915713998
1.61,1653.4406926020647
1.615,1653.9430606798983
1.62,1654.444028229337
1.625,1654.943603458165
1.63,1655.441794501
1.635,1655.9386094201682
1.64,1656.434056206565
1.645,1656.928142780502
1.65,1657.420876992546
1.655,1657.9122666243388
1.66,1658.4023193894118
1.665,1658.8910429339812
1.67,1659.3784448377394
1.675,1659.8645326146284
1.68,1660.3493137136052
1.685,1660.832795519395
1.69,1661.3149853532352
1.695,1661.7958904736045
1.7,1662.275518076946
1.71,1663.2309692123918
1.72,1664.1813951171532
1.73,1665.1268512006798
1.74,1666.0673919456117
1.75,1667.003070928509
