Disp /mm,Force /kN
0.045094919,3.356559019
0.04491719,3.36997775
0.045016368,3.384145732
0.044816524,3.398267599
0.045114,3.41199361
0.045658995,3.425070604
0.045732585,3.438276767
0.046000606,3.451517563
0.045987572,3.464577858
0.045987145,3.477530307
0.046181418,3.490831101
0.04626778,3.504627773
0.046616187,3.518185121
0.046944403,3.531866178
0.046942721,3.545459371
0.047291359,3.559257493
0.047261008,3.573055
0.047646315,3.586729166
0.04786045,3.599893602
0.047992004,3.61318836
0.048048822,3.627394633
0.048154162,3.6414604
0.048221796,3.655175079
0.048429824,3.668832302
0.048518148,3.682575273
0.04867341,3.696134046
0.049527754,3.709667522
0.048968232,3.723426753
0.049156779,3.737525905
0.049749516,3.751893185
0.050033969,3.766664077
0.050131111,3.781284755
0.0503004,3.795186344
0.050354396,3.808935173
0.050491541,3.823077729
0.050606072,3.836704242
0.050802478,3.850169054
0.050960853,3.864017778
0.051108552,3.878488816
0.051456379,3.892959927
0.051303269,3.907611523
0.051719558,3.922260638
0.052210387,3.937012068
0.052275714,3.951577948
0.052708502,3.966328242
0.053221779,3.98053102
0.052793457,3.994314818
0.052491369,4.008554286
0.05297259,4.023555927
0.053104797,4.038488115
0.053583309,4.052876698
0.054024697,4.067349866
0.053964812,4.081736005
0.054252816,4.095762195
0.054141752,4.110019272
0.054386492,4.124717944
0.054587614,4.139986538
0.054717266,4.155564499
0.054736688,4.170698248
0.054906605,4.184847761
0.055144897,4.199078037
0.055469687,4.213525141
0.055882147,4.22810431
0.056226694,4.242387663
0.056192018,4.257065342
0.055953724,4.272012372
0.055988335,4.286807337
0.056285409,4.301571995
0.056820204,4.316573614
0.057135273,4.331888536
0.057028794,4.347203953
0.057174638,4.362566022
0.057406821,4.377550088
0.057360576,4.391992431
0.05734417,4.407053545
0.05749376,4.422609216
0.058194984,4.437978835
0.058372756,4.452956295
0.058242204,4.46809082
0.058334694,4.483072958
0.058499454,4.496935886
0.058673016,4.51141247
0.05908694,4.526880296
0.059357079,4.542655141
0.059478992,4.558633824
0.059684667,4.57486421
0.059822033,4.590253734
0.060102262,4.605174463
0.060374131,4.620141363
0.060351057,4.635003751
0.060560228,4.649676449
0.060689976,4.664649697
0.061126781,4.679975059
0.061378186,4.695891146
0.061677088,4.711358021
0.061854758,4.727187089
0.062214326,4.743026665
0.062443952,4.758602836
0.062503121,4.774257394
0.062557825,4.789936389
0.06269831,4.805126263
0.06281106,4.82005298
0.063078594,4.835967946
0.063506657,4.852104813
0.063752635,4.867538498
0.063735207,4.883081371
0.063873498,4.899020182
0.063956559,4.914540652
0.064359279,4.92999684
0.064567394,4.945814793
0.06489445,4.962104253
0.065013085,4.979031097
0.065314243,4.995831191
0.065679707,5.012491319
0.065883431,5.028269358
0.065979995,5.043904519
0.066334088,5.059763633
0.066546582,5.075423621
0.066635085,5.091117719
0.067049778,5.107310941
0.067457138,5.123595185
0.067420867,5.139606163
0.067590222,5.15588231
0.067826345,5.172534631
0.068115842,5.189343121
0.068258211,5.206200051
0.068423999,5.222892503
0.068559059,5.239045276
0.06853657,5.254781421
0.068944732,5.271109789
0.069061626,5.287908847
0.069317561,5.30453578
0.069518937,5.320947767
0.069568839,5.337697621
0.069880063,5.353683885
0.069976255,5.369178499
0.070489883,5.385521009
0.070362308,5.402310711
0.070384488,5.419834562
0.071007351,5.4376557
0.071126946,5.454834625
0.071255892,5.471443438
0.071357564,5.487762232
0.071930737,5.504392586
0.071980642,5.52079161
0.07218397,5.536947942
0.072537806,5.553435385
0.072758929,5.570432154
0.073082374,5.586954117
0.073411638,5.603562175
0.073752543,5.620574445
0.07404674,5.637718695
0.074228448,5.655171682
0.074252742,5.672519733
0.074401676,5.689465073
0.074404699,5.705936551
0.074584728,5.722845262
0.074772076,5.74031783
0.074862427,5.757584861
0.075340409,5.774017681
0.075670529,5.791039112
0.076357167,5.80831882
0.076650757,5.825380673
0.076661872,5.842339044
0.077030367,5.859969195
0.077332185,5.877695216
0.077278437,5.895879014
0.077556549,5.913757179
0.077935905,5.931249385
0.078067259,5.948336356
0.078525696,5.965596506
0.078425254,5.982866951
0.078764426,5.999571624
0.079092316,6.016733297
0.079427535,6.034209671
0.079653369,6.052140012
0.079835842,6.069772931
0.079874314,6.087367809
0.080217894,6.104944142
0.080471235,6.122743856
0.080641987,6.140948506
0.080687442,6.158810307
0.081042089,6.176545266
0.081283264,6.194372088
0.081568933,6.212674775
0.082232927,6.23061299
0.082314704,6.248320182
0.082798979,6.266178037
0.082729978,6.284330879
0.083166581,6.302242559
0.083242083,6.31993146
0.08379435,6.338193353
0.084322281,6.35708888
0.084327666,6.376700687
0.084642243,6.396411917
0.08510711,6.415128427
0.08539299,6.432992051
0.08572523,6.450849594
0.086001942,6.468835584
0.085855383,6.486920142
0.086384812,6.504806074
0.086680522,6.523252928
0.086948216,6.541920507
0.087025836,6.559981147
0.087608358,6.578211837
0.08800639,6.596724017
0.087850078,6.615280405
0.088071948,6.634070893
0.088479629,6.652917659
0.088648754,6.671116838
0.088878978,6.689302429
0.089034673,6.708385019
0.089080599,6.727340026
0.090171017,6.746393825
0.090317269,6.765559982
0.090270079,6.784665415
0.090411499,6.803530503
0.090993105,6.821875174
0.091026577,6.840464924
0.091103159,6.859765901
0.091377085,6.879615022
0.091697506,6.89949383
0.091959762,6.919094556
0.092506385,6.937840909
0.092568131,6.956635802
0.092904674,6.975519138
0.093044012,6.994119698
0.093384215,7.012769524
0.0939869,7.031304543
0.094115696,7.049772594
0.094488838,7.068580284
0.094552011,7.087272732
0.095089256,7.106123519
0.095022456,7.125021615
0.094144756,7.143970764
0.094416423,7.163047208
0.09515703,7.182002993
0.095553856,7.200833338
0.096178111,7.220026948
0.096591303,7.239584181
0.096921861,7.258730346
0.097240301,7.277688112
0.097425223,7.296763844
0.097999849,7.31589037
0.097817511,7.334692498
0.09827132,7.354037651
0.098733311,7.37332387
0.098778409,7.393201646
0.098932032,7.413912285
0.099834329,7.434588086
0.10000614,7.454351999
0.099972145,7.473647866
0.100276871,7.493033456
0.100891282,7.512455074
0.101258769,7.531631857
0.101499766,7.550941165
0.101818735,7.570866829
0.102235386,7.590754345
0.102571461,7.610540873
0.102622376,7.630426869
0.103401104,7.650725156
0.103745113,7.670745766
0.103721026,7.690674831
