"displacement,mm","force,kN","force,N"
0.0,0.00322984,3.22984
0.0310005,1.1136400000000002,1113.64
0.0620038,2.24424,2244.24
0.0929936,3.4293400000000003,3429.34
0.124006,4.399850000000001,4399.85
0.155041,5.63424,5634.24
0.186012,6.667590000000001,6667.59
0.216989,7.8626700000000005,7862.67
0.247923,8.918540000000002,8918.54
0.278848,9.36369,9363.69
0.309773,9.50414,9504.14
0.340699,9.54115,9541.15
0.371624,9.601420000000001,9601.42
0.402549,9.656930000000001,9656.93
0.433474,9.68671,9686.71
0.464399,9.711530000000002,9711.53
0.495324,9.73741,9737.41
0.526249,9.75597,9755.97
0.557174,9.77639,9776.39
0.588099,9.78566,9785.66
0.619141,9.800469999999999,9800.47
0.650313,9.80641,9806.41
0.681486,9.81375,9813.75
0.712663,9.81791,9817.91
0.743836,9.81792,9817.92
0.775013,9.818280000000001,9818.28
0.806185,9.81705,9817.05
0.837358,9.81335,9813.35
0.868535,9.8077,9807.7
0.899707,9.801290000000002,9801.29
0.93088,9.793190000000001,9793.19
0.962057,9.78347,9783.47
0.993229,9.77176,9771.76
1.02454,9.75894,9758.94
1.05592,9.744620000000001,9744.62
1.0873,9.729030000000002,9729.03
1.11868,9.71218,9712.18
1.15006,9.69389,9693.89
1.18144,9.67423,9674.23
1.21283,9.653030000000001,9653.03
1.2442,9.63013,9630.13
1.27558,9.605590000000001,9605.59
1.30697,9.579229999999999,9579.23
1.33835,9.55104,9551.04
1.36972,9.52142,9521.42
1.40111,9.490129999999999,9490.13
1.43249,9.45746,9457.46
1.46387,9.42272,9422.72
1.49525,9.38542,9385.42
1.52663,9.34616,9346.16
1.55801,9.30489,9304.89
1.58939,9.2615,9261.5
1.62069,9.215700000000002,9215.7
1.65152,9.16787,9167.87
1.68272,9.116670000000001,9116.67
1.71355,9.063180000000001,9063.18
1.74467,9.00651,9006.51
1.77566,8.94708,8947.08
1.80657,8.884290000000002,8884.29
1.83772,8.81761,8817.61
1.8685,8.74814,8748.14
1.89967,8.674520000000001,8674.52
1.93066,8.597520000000001,8597.52
1.96154,8.516969999999999,8516.97
1.9927,8.43135,8431.35
2.02356,8.34288,8342.88
2.05472,8.25003,8250.03
2.08561,8.15395,8153.95
2.11654,8.0549,8054.9
2.14782,7.9517500000000005,7951.75
2.1784,7.84708,7847.08
2.20974,7.73801,7738.01
2.24046,7.6284600000000005,7628.46
2.27163,7.51411,7514.11
2.30245,7.40016,7400.16
2.33366,7.2817,7281.7
2.3644,7.16433,7164.33
2.3957,7.04378,7043.78
2.42664,6.92391,6923.91
2.45841,6.79952,6799.52
2.48968,6.67713,6677.13
2.52008,6.55778,6557.78
2.55026,6.4408900000000004,6440.89
2.58018,6.32239,6322.39
2.6131,6.19599,6195.99
2.64477,6.073390000000001,6073.39
2.67586,5.95484,5954.84
2.70695,5.83982,5839.82
2.73629,5.72804,5728.04
2.76555,5.62004,5620.04
2.79768,5.50521,5505.21
2.8299,5.38872,5388.72
2.8619,5.27651,5276.51
2.8939,5.16933,5169.33
2.92453,5.066680000000001,5066.68
2.95439,4.96948,4969.48
2.98426,4.877680000000001,4877.68
3.01413,4.7903199999999995,4790.32
3.04249,4.70724,4707.24
3.07532,4.61371,4613.71
3.10898,4.53037,4530.37
