"displacement,mm","force,kN","force,N"
0.0,0.00274511,2.74511
0.0140006,2.4625500000000002,2462.55
0.028003,4.82475,4824.75
0.0420048,6.72383,6723.83
0.0559993,7.160340000000001,7160.34
0.0699864,7.42204,7422.04
0.0840039,7.62249,7622.49
0.0980214,7.7603599999999995,7760.36
0.112038,7.8708800000000005,7870.88
0.12606,7.95549,7955.49
0.140096,8.01956,8019.56
0.154066,8.06962,8069.62
0.168038,8.10909,8109.09
0.182009,8.14067,8140.67
0.195979,8.16613,8166.13
0.20995,8.18721,8187.21
0.223921,8.20519,8205.19
0.237892,8.22076,8220.76
0.251845,8.23454,8234.54
0.265739,8.24694,8246.94
0.279631,8.258280000000001,8258.28
0.293524,8.2687,8268.7
0.307416,8.27837,8278.37
0.32131,8.28743,8287.43
0.335201,8.29594,8295.94
0.349094,8.304020000000001,8304.02
0.362986,8.3117,8311.7
0.37688,8.31892,8318.92
0.390772,8.32577,8325.77
0.404665,8.3323,8332.3
0.418558,8.33855,8338.55
0.43245,8.34451,8344.51
0.446344,8.350190000000001,8350.19
0.460236,8.3556,8355.6
0.474129,8.36077,8360.77
0.488021,8.365680000000001,8365.68
0.501946,8.370330000000001,8370.33
0.515995,8.37479,8374.79
0.530044,8.37908,8379.08
0.544092,8.383180000000001,8383.18
0.55847,8.38718,8387.18
0.572871,8.39097,8390.97
0.58727,8.39457,8394.57
0.60167,8.397950000000002,8397.95
0.61607,8.40114,8401.14
0.63047,8.40417,8404.17
0.644871,8.40704,8407.04
0.65927,8.40977,8409.77
0.673671,8.41234,8412.34
0.688069,8.41478,8414.78
0.702472,8.41707,8417.07
0.71687,8.41922,8419.22
0.73127,8.421209999999999,8421.21
0.74567,8.42305,8423.05
0.760071,8.42475,8424.75
0.774471,8.42632,8426.32
0.788871,8.42777,8427.77
0.803269,8.42908,8429.08
0.81767,8.43026,8430.26
0.83207,8.43132,8431.32
0.846471,8.432260000000001,8432.26
0.86087,8.43307,8433.07
0.875271,8.43377,8433.77
0.889654,8.43435,8434.35
0.903733,8.43482,8434.82
0.917815,8.43517,8435.17
0.931893,8.43541,8435.41
0.945976,8.43555,8435.55
0.960053,8.4356,8435.6
0.974134,8.43553,8435.53
0.988213,8.43535,8435.35
1.00229,8.43508,8435.08
1.01637,8.434700000000001,8434.7
1.03045,8.4342,8434.2
1.04453,8.433610000000002,8433.61
1.05861,8.432920000000001,8432.92
1.07269,8.432110000000002,8432.11
1.08677,8.4312,8431.2
1.10085,8.43018,8430.18
1.11493,8.42905,8429.05
1.12901,8.42782,8427.82
1.14309,8.42649,8426.49
1.15717,8.42506,8425.06
1.17125,8.42356,8423.56
1.18533,8.421940000000001,8421.94
1.19941,8.420200000000001,8420.2
1.21349,8.418379999999999,8418.38
1.22757,8.416459999999999,8416.46
1.24165,8.414430000000001,8414.43
1.25574,8.41231,8412.31
1.26981,8.41008,8410.08
1.2839,8.40772,8407.72
1.29797,8.40527,8405.27
1.31205,8.402690000000002,8402.69
1.32613,8.40001,8400.01
1.34021,8.39724,8397.24
1.35429,8.39437,8394.37
1.36837,8.39138,8391.38
1.38245,8.3883,8388.3
1.39653,8.385100000000001,8385.1
1.41061,8.381780000000001,8381.78
