"displacement,mm","force,kN","force,N"
0.0,0.00416753,4.16753
0.0200011,1.43707,1437.07
0.0400051,2.90051,2900.51
0.0599947,4.43098,4430.98
0.0799874,5.68307,5683.07
0.0999767,7.27963,7279.63
0.119945,8.61698,8616.98
0.139913,10.175,10175.0
0.159881,11.529100000000001,11529.1
0.179849,12.9938,12993.8
0.199818,14.4588,14458.8
0.219786,15.7551,15755.1
0.239754,17.3149,17314.9
0.259722,18.605900000000002,18605.9
0.279687,20.0649,20064.9
0.299655,21.1934,21193.4
0.319624,21.812900000000003,21812.9
0.339592,22.4573,22457.3
0.35956,22.947200000000002,22947.2
0.379528,23.3202,23320.2
0.399572,23.683500000000002,23683.5
0.419703,24.0701,24070.1
0.439831,24.4174,24417.4
0.459958,24.7242,24724.2
0.480089,25.0266,25026.6
0.500213,25.3355,25335.5
0.520238,25.5882,25588.2
0.540265,25.8579,25857.9
0.56029,26.0776,26077.6
0.580315,26.3115,26311.5
0.600342,26.5437,26543.7
0.620367,26.7393,26739.3
0.640395,26.9264,26926.4
0.660419,27.109099999999998,27109.1
0.680445,27.284299999999998,27284.3
0.700472,27.447,27447.0
0.720497,27.6051,27605.1
0.740521,27.757900000000003,27757.9
0.760549,27.888099999999998,27888.1
0.780574,28.011,28011.0
0.800598,28.140700000000002,28140.7
0.820626,28.2538,28253.8
0.840651,28.3552,28355.2
0.860678,28.459,28459.0
0.880703,28.5408,28540.8
0.900728,28.6289,28628.9
0.920756,28.698900000000002,28698.9
0.940781,28.7671,28767.1
0.960805,28.8268,28826.8
0.980833,28.872200000000003,28872.2
1.00086,28.916400000000003,28916.4
1.02106,28.951700000000002,28951.7
1.04129,28.9749,28974.9
1.06153,28.9873,28987.3
1.08176,28.9931,28993.1
1.10199,28.9865,28986.5
1.12222,28.969900000000003,28969.9
1.14246,28.9425,28942.5
1.16269,28.9051,28905.1
1.18292,28.858700000000002,28858.7
1.20315,28.8031,28803.1
1.22338,28.739400000000003,28739.4
1.24362,28.669,28669.0
1.26385,28.593,28593.0
1.28408,28.5115,28511.5
1.30431,28.425,28425.0
1.32455,28.3325,28332.5
1.34478,28.2359,28235.9
1.36501,28.1293,28129.3
1.38524,28.0153,28015.3
1.40547,27.8936,27893.6
1.42571,27.762700000000002,27762.7
1.44594,27.626,27626.0
1.46617,27.4828,27482.8
1.4864,27.330099999999998,27330.1
1.50663,27.1738,27173.8
1.52687,27.0065,27006.5
1.54675,26.8358,26835.8
1.56657,26.654,26654.0
1.58584,26.4741,26474.1
1.60504,26.2868,26286.8
1.62521,26.083900000000003,26083.9
1.64569,25.869200000000003,25869.2
1.66617,25.647000000000002,25647.0
1.68665,25.4202,25420.2
1.70713,25.1828,25182.8
1.72761,24.943900000000003,24943.9
1.74773,24.6966,24696.6
1.76779,24.4481,24448.1
1.78741,24.1947,24194.7
1.80693,23.938200000000002,23938.2
1.82738,23.6624,23662.4
1.84769,23.3808,23380.8
1.86781,23.1002,23100.2
1.8875,22.815099999999997,22815.1
1.90708,22.5333,22533.3
1.92725,22.2331,22233.1
1.94764,21.9296,21929.6
1.96782,21.6235,21623.5
1.98758,21.3205,21320.5
2.00722,21.017400000000002,21017.4
